customer_id,customer_name,email,country_code,date_of_birth,signup_date,kyc_status
1,<bound method Provider.name of <faker.providers.person.en_US.Provider object at 0x000001D91685ACF0>>,denisehawkins@example.net,BR,2005-08-28,2025-07-18,rejected
2,<bound method Provider.name of <faker.providers.person.en_US.Provider object at 0x000001D91685ACF0>>,julie10@example.com,IN,1960-12-10,2023-06-06,pending
3,<bound method Provider.name of <faker.providers.person.en_US.Provider object at 0x000001D91685ACF0>>,collinscorey@example.org,IN,1967-11-15,2023-10-27,rejected
4,<bound method Provider.name of <faker.providers.person.en_US.Provider object at 0x000001D91685ACF0>>,calebburke@example.org,ES,1992-08-05,2023-09-06,rejected
5,<bound method Provider.name of <faker.providers.person.en_US.Provider object at 0x000001D91685ACF0>>,wmiles@example.org,GB,2004-05-20,2024-04-04,rejected
6,<bound method Provider.name of <faker.providers.person.en_US.Provider object at 0x000001D91685ACF0>>,ehunter@example.org,NG,2005-01-02,2025-07-01,rejected
7,<bound method Provider.name of <faker.providers.person.en_US.Provider object at 0x000001D91685ACF0>>,tlopez@example.net,CN,2001-05-29,2025-06-28,pending
8,<bound method Provider.name of <faker.providers.person.en_US.Provider object at 0x000001D91685ACF0>>,jerry99@example.net,US,1947-01-18,2024-01-20,rejected
9,<bound method Provider.name of <faker.providers.person.en_US.Provider object at 0x000001D91685ACF0>>,fjohnson@example.net,IN,1970-02-19,2025-12-12,verified
10,<bound method Provider.name of <faker.providers.person.en_US.Provider object at 0x000001D91685ACF0>>,janice63@example.net,ES,1965-03-23,2024-10-14,rejected
11,<bound method Provider.name of <faker.providers.person.en_US.Provider object at 0x000001D91685ACF0>>,sherrymelendez@example.net,ES,1972-02-12,2025-11-20,rejected
12,<bound method Provider.name of <faker.providers.person.en_US.Provider object at 0x000001D91685ACF0>>,otapia@example.com,NG,1974-07-09,2025-10-12,pending
13,<bound method Provider.name of <faker.providers.person.en_US.Provider object at 0x000001D91685ACF0>>,lindaperry@example.net,US,1978-05-16,2024-10-27,rejected
14,<bound method Provider.name of <faker.providers.person.en_US.Provider object at 0x000001D91685ACF0>>,ashelton@example.org,CN,1978-11-09,2024-01-15,verified
15,<bound method Provider.name of <faker.providers.person.en_US.Provider object at 0x000001D91685ACF0>>,nelsondavid@example.org,CN,1997-05-22,2025-09-08,rejected
16,<bound method Provider.name of <faker.providers.person.en_US.Provider object at 0x000001D91685ACF0>>,thomasharvey@example.com,GB,1957-04-30,2025-02-02,verified
17,<bound method Provider.name of <faker.providers.person.en_US.Provider object at 0x000001D91685ACF0>>,shellyhouse@example.com,IN,1977-05-21,2024-02-15,rejected
18,<bound method Provider.name of <faker.providers.person.en_US.Provider object at 0x000001D91685ACF0>>,hannah87@example.org,NG,1978-12-30,2024-06-30,rejected
19,<bound method Provider.name of <faker.providers.person.en_US.Provider object at 0x000001D91685ACF0>>,jeffrey66@example.com,ES,1961-01-25,2024-12-04,pending
